Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
43751,13,RNC_KOT,ABO_007U,U_ABO_007_1,40.28125,44.638694,39,80,36,124,88,2100,110,Sector 1,6378000,0.703040439,0.779092184,1200,1.396263402,43751,40.2831211,44.65100442,0.628318531,2.164208272,40.28997092,44.64599969,40.2752213,44.64912579,4857
43752,13,RNC_KOT,ABO_007U,U_ABO_007_2,40.28125,44.638694,39,170,126,214,88,2100,326.3,Sector 2,6378000,0.703040439,0.779092184,1200,2.967059728,43752,40.27063373,44.64088741,2.199114858,3.735004599,40.2749131,44.64887649,40.27231269,44.63164055,6871
43753,13,RNC_KOT,ABO_007U,U_ABO_007_3,40.28125,44.638694,39,350,306,394,88,2100,83.7,Sector 3,6378000,0.703040439,0.779092184,1200,6.108652382,43753,40.29186622,44.6365391,5.340707511,6.876597253,40.28758577,44.62861859,40.29018677,44.64564306,4531
43754,13,RNC_KOT,ABO_007U,U_ABO_007_4,40.28125,44.638694,39,80,36,124,88,2100,93.2,Sector 1,6378000,0.703040439,0.779092184,1200,1.396263402,43754,40.2831211,44.65100442,0.628318531,2.164208272,40.28997092,44.64599969,40.2752213,44.64912579,3872
43755,13,RNC_KOT,ABO_007U,U_ABO_007_5,40.28125,44.638694,39,170,126,214,88,2100,209.2,Sector 2,6378000,0.703040439,0.779092184,1200,2.967059728,43755,40.27063373,44.64088741,2.199114858,3.735004599,40.2749131,44.64887649,40.27231269,44.63164055,5419
43756,13,RNC_KOT,ABO_007U,U_ABO_007_6,40.28125,44.638694,39,350,306,394,88,2100,97.9,Sector 3,6378000,0.703040439,0.779092184,1200,6.108652382,43756,40.29186622,44.6365391,5.340707511,6.876597253,40.28758577,44.62861859,40.29018677,44.64564306,4153
43759,13,RNC_KOT,ABO_007U,U_ABO_007_9,40.28125,44.638694,39,350,306,394,88,2100,78.4,Sector 3,6378000,0.703040439,0.779092184,1200,6.108652382,43759,40.29186622,44.6365391,5.340707511,6.876597253,40.28758577,44.62861859,40.29018677,44.64564306,3736
63757,13,RNC_KOT,ABO_007U,U_ABO_007_A,40.28125,44.638694,39,80,47.5,112.5,65,900,134,Sector 1,6378000,0.703040439,0.779092184,1200,1.396263402,63757,40.2831211,44.65100442,0.829031395,1.963495408,40.28853241,44.64786873,40.27712393,44.65030073,3424
63758,13,RNC_KOT,ABO_007U,U_ABO_007_B,40.28125,44.638694,39,170,137.5,202.5,65,900,"1,268.90",Sector 2,6378000,0.703040439,0.779092184,1200,2.967059728,63758,40.27063373,44.64088741,2.399827721,3.534291735,40.27330175,44.6472086,40.27129044,44.63386285,4713
63759,13,RNC_KOT,ABO_007U,U_ABO_007_C,40.28125,44.638694,39,350,317.5,382.5,65,900,"2,000.70",Sector 3,6378000,0.703040439,0.779092184,1200,6.108652382,63759,40.29186622,44.6365391,5.541420375,6.675884389,40.28919747,44.63029156,40.29120931,44.64344554,8284
